country,continent,year,lifeExp,pop,gdpPercap,iso_alpha,iso_num,data_referencia,faixa_expectativa_vida,pop_diff,pop_pct_change,lifeExp_rolling_mean_3,pop_rolling_sum_3,pop_cumsum
Brazil,Americas,1952,50.917,56602560,2108.944355,BRA,76,1952-01-01,media,0,0.0,,0,56602560
Brazil,Americas,1957,53.285,65551171,2487.365989,BRA,76,1957-01-01,media,8948611,15.81,,0,122153731
Brazil,Americas,1962,55.665,76039390,3336.585802,BRA,76,1962-01-01,media,10488219,16.0,53.29,198193121,198193121
Brazil,Americas,1967,57.632,88049823,3429.864357,BRA,76,1967-01-01,media,12010433,15.8,55.53,229640384,286242944
Brazil,Americas,1972,59.504,100840058,4985.711467,BRA,76,1972-01-01,media,12790235,14.53,57.6,264929271,387083002
Brazil,Americas,1977,61.489,114313951,6660.118654,BRA,76,1977-01-01,media,13473893,13.36,59.54,303203832,501396953
Brazil,Americas,1982,63.33600000000001,128962939,7030.835878,BRA,76,1982-01-01,media,14648988,12.81,61.44,344116948,630359892
Brazil,Americas,1987,65.205,142938076,7807.095818000002,BRA,76,1987-01-01,media,13975137,10.84,63.34,386214966,773297968
Brazil,Americas,1992,67.057,155975974,6950.283020999998,BRA,76,1992-01-01,media,13037898,9.12,65.2,427876989,929273942
Brazil,Americas,1997,69.388,168546719,7957.980823999998,BRA,76,1997-01-01,media,12570745,8.06,67.22,467460769,1097820661
Brazil,Americas,2002,71.006,179914212,8131.212843000001,BRA,76,2002-01-01,alta,11367493,6.74,69.15,504436905,1277734873
Brazil,Americas,2007,72.39,190010647,9065.800825,BRA,76,2007-01-01,alta,10096435,5.61,70.93,538471578,1467745520
